,,,,,Name,GEJRNEYA-RI8586A_Src_(Lin)_(vsFreq)(vsPset)_Validate_2021-10-05T14-15-39
Result Number,Result Name,Units,U Limit,L Limit
155,Pout Error (Max-Min)@Frq3:15000,db,1,,,0.0092
156,Pout Error (Max-Min)@Frq3:16000,db,1,,,0.01
157,Pout Error (Max-Min)@Frq3:17000,db,1,,,0.009
158,Pout Error (Max-Min)@Frq3:17999.999,db,1,,,0.0172
159,Pout Error (Max-Min)@Frq3:18000,db,1,,,0.0173
160,Pout Error (Max-Min)@Frq3:19000,db,1,,,0.0062
161,Pout Error (Max-Min)@Frq3:20000,db,1,,,0.0099
162,Pout Error (Max-Min)@Frq3:21000,db,1,,,0.019
163,Pout Error (Max-Min)@Frq3:22000,db,1,,,0.0201
164,Pout Error (Max-Min)@Frq3:23000,db,1,,,0.0485
165,Pout Error (Max-Min)@Frq3:24000,db,1,,,0.1244
166,(vs Pset)Pout Error (Abs)(Avg)@Pwr3:-21,db,,,,0.112
167,(vs Pset)Pout Error (Abs)(Avg)@Pwr3:-18,db,,,,0.066
168,(vs Pset)Pout Error (Abs)(Avg)@Pwr3:-15,db,,,,0.062
169,(vs Pset)Pout Error (Abs)(Avg)@Pwr3:-12,db,,,,0.071
170,(vs Pset)Pout Error (Abs)(Avg)@Pwr3:-9,db,,,,0.0575
171,(vs Pset)Pout Error (Abs)(Avg)@Pwr3:-6,db,,,,0.0512
172,(vs Pset)Pout Error (Abs)(Avg)@Pwr3:-3,db,,,,0.1553
173,(vs Pset)Pout Error (Abs)(Avg)@Pwr3:0,db,,,,0.1116
174,(vs Pset)Pout Error (Avg)@Pwr3:-21,db,,,,-0.0105185185
175,(vs Pset)Pout Error (Avg)@Pwr3:-18,db,,,,-0.0117777777
176,(vs Pset)Pout Error (Avg)@Pwr3:-15,db,,,,-0.0111666666
177,(vs Pset)Pout Error (Avg)@Pwr3:-12,db,,,,-0.0137777777
178,(vs Pset)Pout Error (Avg)@Pwr3:-9,db,,,,-0.0162481481
179,(vs Pset)Pout Error (Avg)@Pwr3:-6,db,,,,-0.0146592592
180,(vs Pset)Pout Error (Avg)@Pwr3:-3,db,,,,-0.0178148148
181,(vs Pset)Pout Error (Avg)@Pwr3:0,db,,,,-0.0150407407
182,(vs Pset)Pout Error (Max-Min)@Pwr3:-21,db,,,,0.0163333333
183,(vs Pset)Pout Error (Max-Min)@Pwr3:-18,db,,,,0.0157407407
184,(vs Pset)Pout Error (Max-Min)@Pwr3:-15,db,,,,0.0149074074
185,(vs Pset)Pout Error (Max-Min)@Pwr3:-12,db,,,,0.0167407407
186,(vs Pset)Pout Error (Max-Min)@Pwr3:-9,db,,,,0.0181777777
187,(vs Pset)Pout Error (Max-Min)@Pwr3:-6,db,,,,0.0164333333
188,(vs Pset)Pout Error (Max-Min)@Pwr3:-3,db,,,,0.0189037037
189,(vs Pset)Pout Error (Max-Min)@Pwr3:0,db,,,,0.0159629629
190,Src Pout Error (max),db,1,-1,,0.022
